id,valor,peso,volumen,categoria
0,54,35,12,cat_3
1,273,14,5,cat_3
2,550,72,43,cat_2
3,873,7,21,cat_1
4,346,72,43,cat_1
5,168,1,56,cat_0
6,900,77,49,cat_0
7,7,41,94,cat_3
8,105,6,12,cat_1
9,130,3,38,cat_3
10,588,62,34,cat_3
11,858,5,99,cat_2
12,352,67,62,cat_1
13,841,78,82,cat_4
14,579,41,2,cat_3
15,915,99,83,cat_4
16,445,88,69,cat_4
17,912,63,67,cat_3
18,384,66,5,cat_1
19,744,11,63,cat_2
20,175,43,44,cat_4
21,401,10,93,cat_3
22,397,74,100,cat_2
23,17,25,76,cat_0
24,852,81,47,cat_0
25,918,46,30,cat_3
26,545,65,93,cat_0
27,655,37,64,cat_1
28,558,62,23,cat_1
29,550,57,49,cat_3
30,46,2,18,cat_3
31,198,3,33,cat_2
32,702,35,56,cat_3
33,1,14,80,cat_0
34,523,46,91,cat_0
35,85,56,2,cat_4
36,387,10,70,cat_3
37,30,42,34,cat_3
38,34,97,72,cat_2
39,425,45,4,cat_1
40,906,54,9,cat_1
41,382,86,31,cat_0
42,845,81,8,cat_4
43,397,69,40,cat_1
44,936,84,99,cat_2
45,795,50,48,cat_1
46,548,44,67,cat_0
47,645,22,76,cat_3
48,443,8,95,cat_1
49,466,86,3,cat_2
50,461,95,95,cat_3
51,312,55,100,cat_0
52,163,67,42,cat_4
53,528,72,18,cat_2
54,513,14,70,cat_2
55,231,73,44,cat_0
56,279,65,32,cat_1
57,908,42,34,cat_3
58,45,65,11,cat_1
59,518,26,98,cat_0
60,199,35,73,cat_1
61,88,77,41,cat_0
62,350,71,69,cat_1
63,952,69,18,cat_3
64,505,94,51,cat_0
65,264,92,74,cat_3
66,349,51,29,cat_4
67,948,17,79,cat_0
68,920,77,78,cat_3
69,352,90,75,cat_0
70,708,7,47,cat_3
71,371,86,54,cat_2
72,368,28,99,cat_3
73,352,97,25,cat_1
74,392,8,54,cat_3
75,513,34,23,cat_4
76,386,48,9,cat_2
77,126,34,65,cat_4
78,330,8,49,cat_0
79,601,50,39,cat_0
80,477,74,98,cat_2
81,249,83,58,cat_2
82,862,57,73,cat_4
83,353,32,89,cat_3
84,514,74,36,cat_2
85,978,7,24,cat_0
86,21,55,85,cat_3
87,752,17,62,cat_4
88,44,61,70,cat_1
89,334,48,29,cat_4
90,885,5,60,cat_4
91,922,77,100,cat_2
92,723,75,2,cat_2
93,748,50,30,cat_0
94,893,33,37,cat_1
95,427,46,55,cat_0
96,622,2,64,cat_1
97,203,6,35,cat_4
98,170,98,95,cat_4
99,860,25,39,cat_3
