Instance,Variant,ConfigID,BaseSeed,Threads,AvgTime(s),StdTime(s),BestFeasibleValue,BestFitness,Feasible%,Speedup,Efficiency
data/small,standard,3,132512,1,0.16803,0.0216814,28003,0.160672,34.2667,1,1
data/small,standard,3,132512,2,0.094432,0.0135152,27145,0.155749,46.2667,1.77937,0.889686
data/small,standard,3,132512,4,0.0530985,0.00757829,27145,0.155749,46.2667,3.16449,0.791123
data/small,standard,3,132512,8,0.04005,0.00540356,27145,0.155749,46.2667,4.1955,0.524437
data/medium,standard,3,132512,1,1.65743,0.1154,708881,0.131411,34.4,1,1
data/medium,standard,3,132512,2,0.916768,0.0703258,678416,0.125764,43.5111,1.8079,0.903951
data/medium,standard,3,132512,4,0.48711,0.0355316,678416,0.125764,43.5111,3.40257,0.850643
data/medium,standard,3,132512,8,0.336663,0.0240139,678416,0.125764,43.5111,4.9231,0.615387
data/large,standard,3,132512,1,141.792,67.698,1.60287e+07,0.0973085,0.666667,1,1
data/large,standard,3,132512,2,144.704,60.3038,1.53519e+07,0.0931999,0.666667,0.979872,0.489936
data/large,standard,3,132512,4,73.2893,30.632,1.53519e+07,0.0931999,0.666667,1.93468,0.483671
data/large,standard,3,132512,8,49.9096,20.9975,1.53519e+07,0.0931999,0.666667,2.84097,0.355121
