Instance,Variant,ConfigID,BaseSeed,Threads,AvgTime(s),StdTime(s),BestFeasibleValue,BestFitness,Feasible%,Speedup,Efficiency
data/small,islands,3,132512,1,0.174379,0.0323811,29388,0.183974,63.4333,1,1
data/small,islands,3,132512,2,0.114176,0.0203084,29388,0.183974,63.4333,1.52728,0.763642
data/small,islands,3,132512,4,0.0648139,0.0111341,29388,0.183974,63.4333,2.69046,0.672614
data/small,islands,3,132512,8,0.0605121,0.0108163,29388,0.183974,63.4333,2.88172,0.360215
data/medium,islands,3,132512,1,1.15287,0.060034,680148,0.125954,30.6667,1,1
data/medium,islands,3,132512,2,0.660497,0.0338991,680148,0.125954,30.6667,1.74546,0.872728
data/medium,islands,3,132512,4,0.420769,0.02075,680148,0.125954,30.6667,2.73991,0.684977
data/medium,islands,3,132512,8,0.397466,0.0258314,680148,0.125954,30.6667,2.90054,0.362568
data/large,islands,3,132512,1,246.516,27.3493,1.90361e+07,0.115738,0.0666667,1,1
data/large,islands,3,132512,2,149.78,15.9193,1.90361e+07,0.115738,0.0666667,1.64585,0.822926
data/large,islands,3,132512,4,106.396,12.1294,1.90361e+07,0.115738,0.0666667,2.31698,0.579244
data/large,islands,3,132512,8,87.1191,10.4082,1.90361e+07,0.115738,0.0666667,2.82964,0.353705
