Instance,Variant,ConfigID,BaseSeed,Threads,AvgTime(s),StdTime(s),BestFeasibleValue,BestFitness,Feasible%,Speedup,Efficiency
data/small,standard,3,132512,1,0.115611,0.0137924,30721,0.192319,64.2222,1,1
data/small,standard,3,132512,2,0.0818085,0.00845224,30110,0.188494,69.6889,1.41319,0.706595
data/small,standard,3,132512,4,0.0514619,0.0112567,30110,0.188494,69.6889,2.24653,0.561633
data/small,standard,3,132512,8,0.0453805,0.00471881,30110,0.188494,69.6889,2.54759,0.318449
data/medium,standard,3,132512,1,0.946398,0.101051,701558,0.129918,34.2222,1,1
data/medium,standard,3,132512,2,0.597242,0.0793691,698698,0.129389,43.6444,1.58461,0.792307
data/medium,standard,3,132512,4,0.338479,0.0263345,698698,0.129389,43.6444,2.79603,0.699007
data/medium,standard,3,132512,8,0.316041,0.0273332,698698,0.129389,43.6444,2.99454,0.374318
data/large,standard,3,132512,1,74.9202,28.0704,1.61139e+07,0.0973784,0.711111,1,1
data/large,standard,3,132512,2,94.1868,59.6386,1.52778e+07,0.0923259,0.666667,0.795442,0.397721
data/large,standard,3,132512,4,63.5839,42.685,1.52778e+07,0.0923259,0.666667,1.17829,0.294572
data/large,standard,3,132512,8,52.7031,34.0155,1.52778e+07,0.0923259,0.666667,1.42155,0.177694
