Instance,Variant,ConfigID,BaseSeed,Threads,AvgTime(s),StdTime(s),BestFeasibleValue,BestFitness,Feasible%,Speedup,Efficiency
data/small,islands,3,132512,1,0.139667,0.0270867,24012,0.150319,42.5,1,1
data/small,islands,3,132512,2,0.0764667,0.0162147,24012,0.150319,42.5,1.8265,0.913252
data/small,islands,3,132512,4,0.0568667,0.0103914,24012,0.150319,42.5,2.45604,0.614009
data/small,islands,3,132512,8,0.042,0.00770285,24012,0.150319,42.5,3.3254,0.415675
data/medium,islands,3,132512,1,1.18747,0.0675859,680148,0.125954,30.6667,1,1
data/medium,islands,3,132512,2,0.641133,0.0311381,680148,0.125954,30.6667,1.85214,0.926068
data/medium,islands,3,132512,4,0.4592,0.0239282,680148,0.125954,30.6667,2.58595,0.646487
data/medium,islands,3,132512,8,0.366533,0.0449086,680148,0.125954,30.6667,3.23972,0.404965
data/large,islands,3,132512,1,235.333,27.6385,1.90361e+07,0.115738,0.0666667,1,1
data/large,islands,3,132512,2,132.96,14.4122,1.90361e+07,0.115738,0.0666667,1.76996,0.884979
data/large,islands,3,132512,4,102.914,11.2823,1.90361e+07,0.115738,0.0666667,2.2867,0.571675
data/large,islands,3,132512,8,75.1027,8.21327,1.90361e+07,0.115738,0.0666667,3.13348,0.391685
