Instance,Variant,ConfigID,BaseSeed,Threads,AvgTime(s),StdTime(s),BestFeasibleValue,BestFitness,Feasible%,Speedup,Efficiency
data/small,standard,3,132512,1,0.1222,0.0310853,26759,0.167516,34.5333,1,1
data/small,standard,3,132512,2,0.0611333,0.010862,25060,0.15688,47.6444,1.99891,0.999455
data/small,standard,3,132512,4,0.0473333,0.0085375,25060,0.15688,47.6444,2.58169,0.645422
data/small,standard,3,132512,8,0.0354,0.00684885,25060,0.15688,47.6444,3.45198,0.431497
data/medium,standard,3,132512,1,0.9608,0.0694993,701558,0.129918,34.2222,1,1
data/medium,standard,3,132512,2,0.623067,0.0458671,698698,0.129389,43.6444,1.54205,0.771025
data/medium,standard,3,132512,4,0.443467,0.0336192,698698,0.129389,43.6444,2.16657,0.541642
data/medium,standard,3,132512,8,0.292333,0.0256559,698698,0.129389,43.6444,3.28666,0.410832
data/large,standard,3,132512,1,75.2269,29.3391,1.61139e+07,0.0973784,0.711111,1,1
data/large,standard,3,132512,2,87.7145,55.8244,1.52778e+07,0.0923259,0.666667,0.857634,0.428817
data/large,standard,3,132512,4,67.7604,43.061,1.52778e+07,0.0923259,0.666667,1.11019,0.277548
data/large,standard,3,132512,8,65.0418,39.8337,1.52778e+07,0.0923259,0.666667,1.15659,0.144574
