Instance,Variant,ConfigID,BaseSeed,Threads,AvgTime(s),StdTime(s),BestFeasibleValue,BestFitness,Feasible%,Speedup,Efficiency
data/small,islands,3,132512,1,0.103467,0.0203727,24012,0.150319,42.2333,1,1
data/small,islands,3,132512,2,0.0532,0.0102189,24012,0.150319,42.2333,1.94486,0.972431
data/small,islands,3,132512,4,0.0322667,0.00600516,24012,0.150319,42.2333,3.20661,0.801653
data/small,islands,3,132512,8,0.0276,0.00578271,24012,0.150319,42.2333,3.74879,0.468599
data/medium,islands,3,132512,1,0.803733,0.0396358,680148,0.125954,30.5,1,1
data/medium,islands,3,132512,2,0.443,0.0255969,680148,0.125954,30.5,1.8143,0.907148
data/medium,islands,3,132512,4,0.267067,0.0161099,680148,0.125954,30.5,3.00949,0.752371
data/medium,islands,3,132512,8,0.205533,0.00983107,680148,0.125954,30.5,3.91048,0.48881
data/large,islands,3,132512,1,168.23,17.713,1.92091e+07,0.116083,0.0333333,1,1
data/large,islands,3,132512,2,89.7575,9.16681,1.92091e+07,0.116083,0.0333333,1.87427,0.937135
data/large,islands,3,132512,4,53.185,5.42811,1.92091e+07,0.116083,0.0333333,3.16311,0.790777
data/large,islands,3,132512,8,35.9435,4.22637,1.92091e+07,0.116083,0.0333333,4.68039,0.585049
