Instance,Variant,ConfigID,BaseSeed,Threads,AvgTime(s),StdTime(s),BestFeasibleValue,BestFitness,Feasible%,Speedup,Efficiency
data/small,standard,3,132512,1,0.0795334,0.0114768,26759,0.167516,34.5333,1,1
data/small,standard,3,132512,2,0.0412,0.00728652,25060,0.15688,47.6444,1.93042,0.965211
data/small,standard,3,132512,4,0.0256667,0.00754245,25060,0.15688,47.6444,3.0987,0.774675
data/small,standard,3,132512,8,0.0202,0.00367336,25060,0.15688,47.6444,3.9373,0.492162
data/medium,standard,3,132512,1,0.647667,0.0379134,701558,0.129918,33.9556,1,1
data/medium,standard,3,132512,2,0.423133,0.0323107,698698,0.129389,43.6444,1.53064,0.765322
data/medium,standard,3,132512,4,0.271467,0.0323004,698698,0.129389,43.6444,2.38581,0.596451
data/medium,standard,3,132512,8,0.202133,0.0141604,698698,0.129389,43.6444,3.20416,0.400519
data/large,standard,3,132512,1,47.4075,23.601,1.64085e+07,0.0991586,0.711111,1,1
data/large,standard,3,132512,2,58.2865,29.2024,1.55618e+07,0.0940423,0.666667,0.813353,0.406677
data/large,standard,3,132512,4,34.0005,17.202,1.55618e+07,0.0940423,0.666667,1.39432,0.348579
data/large,standard,3,132512,8,24.9065,12.7282,1.55618e+07,0.0940423,0.666667,1.90342,0.237927
