id_item,id_dependency
1073,952
1606,1141
1670,328
1686,972
1739,642
1794,865
1831,1295
1899,269
2009,1819
2150,90
2218,1987
2383,1921
2414,502
2451,1688
2634,222
2692,2550
3141,2413
3171,1720
3367,1974
3413,574
3423,2465
3430,2606
3452,635
3465,3371
3652,3204
3664,2664
3670,1392
3715,182
3775,3540
3828,1547
3901,1922
3998,3165
4000,2910
4170,1301
4198,1264
4239,3630
4345,39
4371,2265
4373,1691
4404,4099
4442,4287
4519,3156
4582,4291
4610,99
4655,409
4690,1598
4783,1341
4868,3026
4988,2676
5068,3457
5081,3518
5084,2020
5151,444
5433,605
5437,1504
5643,5217
5732,2598
5765,1179
5767,785
5822,556
5835,2025
5898,4240
6059,1253
6062,3396
6070,3867
6071,4319
6118,1131
6161,4943
6241,3260
6243,4435
6275,2146
6310,1542
6327,2400
6350,4702
6365,231
6407,91
6427,6010
6480,5158
6511,1419
6514,2465
6564,1976
6593,1617
6657,1966
6748,6309
6753,5537
6802,4683
6809,1490
6835,3825
6851,979
6865,943
6901,6175
6946,5240
6960,379
7082,5218
7123,2210
7140,4761
7245,6616
7247,5328
7353,3194
7414,4042
7466,4926
7469,7444
7511,6102
7555,2499
7570,6058
7580,6069
7615,7178
7673,2717
7695,7293
7748,4581
7863,1998
7869,6288
7907,2137
7918,1743
7920,6326
7933,2838
7937,6190
8014,4517
8035,6698
8102,4675
8112,4322
8117,75
8176,5616
8200,6190
8244,6489
8245,4664
8278,6543
8310,1924
8313,6317
8340,274
8346,6887
8347,2914
8380,2340
8394,258
8406,4698
8416,6822
8417,1020
8424,5996
8443,12
8461,5511
8474,6620
8475,3676
8524,3049
8540,8310
8548,2270
8679,8024
8699,2086
8705,3746
8714,7980
8724,1143
8790,1909
8791,5622
8796,5783
8829,1423
8859,7198
8888,5179
8945,154
8949,5514
9083,5649
9093,659
9123,4646
9197,827
9212,6754
9225,88
9261,3037
9263,1139
9306,3818
9319,5965
9331,4994
9375,594
9423,562
9428,255
9446,4875
9469,7045
9501,1293
9507,9371
9509,9096
9515,8842
9586,3502
9605,1734
9610,5996
9617,9148
9624,1928
9635,252
9667,7041
9675,4258
9679,9179
9683,5091
9714,6575
9719,3620
9729,2926
9739,4015
9802,2487
9806,5346
9822,3173
9853,6814
9854,1039
9872,7685
9873,6535
9973,8956
