id_item_a,id_item_b
75,8718
90,1463
155,9870
168,2384
184,922
202,6963
213,6778
216,6612
244,9093
258,9149
290,1119
313,8261
327,7723
337,9533
362,2476
371,4899
382,8957
437,7463
443,9154
510,2422
533,4008
548,4248
553,9042
570,7148
586,8185
587,9401
600,8343
605,2773
605,3593
608,2824
617,9697
620,1238
662,3527
684,3764
694,7445
763,7016
766,1316
775,1641
841,7850
842,4851
850,2032
875,9002
888,4913
933,5652
951,2801
969,1475
978,2590
981,6706
983,9122
994,9296
1001,6503
1019,2942
1030,5421
1049,9853
1081,4320
1119,3721
1154,2739
1163,3692
1221,2183
1228,5178
1333,6708
1394,8266
1396,2462
1412,4105
1415,1654
1451,6868
1454,1949
1475,8704
1503,3910
1505,8437
1580,7654
1591,7750
1603,6027
1633,5289
1673,2701
1715,6542
1761,2274
1798,7801
1812,6704
1821,6838
1827,6690
1836,2714
1846,6489
1884,2192
1897,5739
1905,5975
1910,8546
1948,5568
1983,6583
1988,7226
2004,4231
2008,5217
2013,3469
2031,9060
2040,7424
2052,7475
2069,6043
2094,7052
2096,7466
2098,4275
2103,7789
2112,8366
2113,6918
2142,5258
2159,5013
2223,7331
2243,3222
2250,5742
2253,2819
2257,6037
2260,5790
2326,9479
2364,3252
2401,2747
2438,3438
2460,9414
2464,8503
2484,4969
2493,8302
2518,6970
2525,7140
2551,2567
2554,6552
2580,4407
2620,8442
2632,2658
2746,7071
2772,7738
2803,3211
2805,4253
2826,9653
2835,5967
2852,4669
2868,7075
2888,7872
2910,4675
2918,5484
2961,4758
2974,5322
3021,6063
3036,4694
3049,7763
3051,3645
3077,4240
3093,7070
3117,6926
3161,8596
3163,8201
3187,9864
3196,6906
3212,5022
3225,3351
3276,5412
3298,4622
3310,3843
3313,3319
3320,3397
3374,8367
3409,6693
3432,8979
3451,4850
3466,4094
3525,9629
3526,8105
3631,6081
3643,7190
3643,8212
3648,9794
3650,4394
3684,8554
3713,8591
3730,8177
3749,9374
3780,5487
3794,6842
3833,4740
3851,4849
3856,6173
3900,8242
3914,4009
3996,6630
4060,9680
4071,7542
4090,9373
4116,8369
4244,8336
4288,9687
4311,6402
4369,9484
4372,9415
4415,8083
4460,6885
4476,7227
4493,7754
4507,8471
4532,5259
4543,9712
4559,9545
4609,7563
4621,6523
4655,6107
4716,9473
4752,4841
4770,9163
4782,9711
4803,5987
4843,8413
4852,7857
4891,5737
4901,7889
4915,5320
4998,9589
5012,6585
5094,8359
5186,5671
5191,8190
5204,5545
5251,7395
5287,8447
5385,5907
5421,8689
5432,9545
5440,9351
5455,6048
5467,8168
5476,7400
5497,9492
5560,8829
5611,7052
5636,6094
5642,6869
5674,7613
5747,8585
5779,8740
5787,9076
5884,9030
5896,7421
5904,9196
5908,9714
5977,7079
6032,9854
6074,8586
6077,8950
6078,9035
6093,9424
6096,8434
6101,6935
6211,7139
6278,9516
6405,8105
6517,8544
6600,8076
6671,8229
6678,6708
6714,9642
6731,9910
6790,8889
6838,6911
6859,6990
6862,7311
6878,7835
6934,9444
7005,9975
7063,9878
7191,8870
7193,8454
7232,8073
7283,7473
7353,9392
7432,9552
7476,9642
7530,8637
7626,8245
7647,8374
7649,9437
7658,7698
7734,9064
7755,8904
7770,9260
7834,7947
7838,9502
7885,8719
7890,9961
7945,8347
7967,8026
7987,8221
8020,9691
8041,9661
8169,9924
8224,9595
8265,8431
8415,9246
8470,9075
8603,8615
8618,9153
8763,9906
8845,8991
8897,9265
9095,9387
9608,9779
