id,value,weight,volume,category
0,4193,611,935,cat_0
1,9261,304,355,cat_4
2,2604,293,6,cat_1
3,6972,380,949,cat_3
4,5699,538,53,cat_2
5,3413,701,604,cat_1
6,2245,83,896,cat_4
7,5630,887,645,cat_2
8,8733,24,780,cat_4
9,2930,303,767,cat_2
10,1857,355,377,cat_4
11,6784,275,679,cat_2
12,9706,68,257,cat_4
13,8629,617,802,cat_1
14,4767,648,473,cat_2
15,1941,378,220,cat_1
16,8717,878,512,cat_4
17,3234,751,392,cat_1
18,6135,362,389,cat_0
19,7827,339,826,cat_0
20,1770,707,198,cat_1
21,4056,811,229,cat_4
22,7421,601,765,cat_0
23,4664,96,623,cat_0
24,3759,287,297,cat_2
25,1019,995,754,cat_0
26,8318,162,811,cat_1
27,4264,64,168,cat_3
28,2101,535,874,cat_0
29,462,254,367,cat_2
30,3946,669,251,cat_4
31,4547,944,81,cat_2
32,5534,316,72,cat_1
33,8630,155,869,cat_1
34,9985,397,342,cat_0
35,7743,322,13,cat_2
36,339,790,382,cat_2
37,3749,746,384,cat_2
38,6684,176,507,cat_2
39,1286,404,895,cat_4
40,8668,891,11,cat_0
41,8916,287,372,cat_2
42,1203,427,242,cat_3
43,9586,295,619,cat_1
44,4137,927,154,cat_3
45,7246,637,543,cat_2
46,1161,770,391,cat_2
47,2269,948,304,cat_2
48,9348,962,797,cat_2
49,3972,24,116,cat_1
50,2950,679,733,cat_1
51,1622,726,996,cat_0
52,3026,808,635,cat_1
53,4216,535,168,cat_3
54,6511,981,274,cat_1
55,5746,63,297,cat_1
56,7141,30,551,cat_4
57,9830,371,694,cat_3
58,4910,734,789,cat_1
59,5023,208,744,cat_3
60,6281,397,611,cat_4
61,7175,215,478,cat_4
62,5824,58,249,cat_4
63,7315,467,631,cat_2
64,9772,682,172,cat_2
65,6267,921,837,cat_3
66,5892,725,480,cat_1
67,6456,424,813,cat_4
68,7180,242,866,cat_3
69,2137,85,657,cat_4
70,2673,932,291,cat_3
71,4614,669,98,cat_3
72,6308,207,670,cat_1
73,4238,205,963,cat_4
74,1930,74,555,cat_0
75,1068,329,266,cat_3
76,4702,763,515,cat_0
77,3958,728,693,cat_1
78,130,464,78,cat_4
79,4294,824,320,cat_1
80,6771,933,421,cat_4
81,6790,14,267,cat_1
82,8477,438,993,cat_3
83,9953,406,585,cat_4
84,8500,398,192,cat_0
85,6761,458,295,cat_3
86,723,991,987,cat_1
87,8503,319,147,cat_3
88,193,368,72,cat_0
89,4593,243,731,cat_2
90,5568,680,770,cat_1
91,1453,292,495,cat_1
92,731,851,163,cat_4
93,3532,865,345,cat_3
94,9389,999,847,cat_1
95,8095,848,196,cat_1
96,7299,252,517,cat_0
97,6356,137,643,cat_1
98,2550,12,980,cat_3
99,4384,650,873,cat_3
100,9384,608,8,cat_0
101,7922,815,900,cat_3
102,420,754,521,cat_3
103,3237,533,97,cat_0
104,4630,616,257,cat_1
105,9613,385,882,cat_3
106,5256,461,498,cat_3
107,7818,376,498,cat_2
108,7576,274,937,cat_2
109,2745,173,619,cat_3
110,8975,388,89,cat_0
111,1603,436,663,cat_1
112,293,896,920,cat_1
113,41,100,460,cat_4
114,9344,633,734,cat_2
115,3985,850,66,cat_1
116,8371,254,353,cat_0
117,3086,39,934,cat_1
118,8529,535,991,cat_2
119,5896,194,285,cat_3
120,5237,868,622,cat_3
121,2979,377,937,cat_1
122,6002,539,458,cat_0
123,5758,37,662,cat_1
124,8167,908,416,cat_2
125,9162,310,170,cat_3
126,3787,488,2,cat_4
127,5036,926,943,cat_4
128,8479,40,463,cat_4
129,860,235,234,cat_1
130,167,298,515,cat_0
131,5864,204,454,cat_2
132,6408,773,236,cat_2
133,3639,124,523,cat_4
134,4114,873,976,cat_2
135,9853,491,930,cat_2
136,3242,196,288,cat_3
137,8878,841,45,cat_4
138,9822,428,705,cat_0
139,1700,809,597,cat_1
140,4590,312,587,cat_4
141,6919,600,381,cat_1
142,6255,639,111,cat_2
143,19,59,123,cat_0
144,3951,830,711,cat_1
145,7125,395,754,cat_2
146,5371,940,347,cat_1
147,3626,357,765,cat_2
148,5009,366,64,cat_2
149,4418,576,460,cat_3
150,1626,72,736,cat_4
151,7479,640,221,cat_0
152,4774,908,389,cat_3
153,5953,620,99,cat_2
154,3423,461,711,cat_3
155,8436,385,852,cat_1
156,7781,424,836,cat_3
157,8327,402,132,cat_1
158,4837,436,602,cat_0
159,6431,107,954,cat_4
160,8441,444,381,cat_2
161,2523,431,883,cat_1
