id,value,weight,volume,category
0,1205,196,149,cat_1
1,2459,182,161,cat_3
2,1948,63,23,cat_4
3,1208,206,294,cat_3
4,426,113,292,cat_0
5,2577,48,189,cat_1
6,355,194,312,cat_4
7,192,259,298,cat_3
8,2729,105,231,cat_3
9,704,93,79,cat_0
10,1146,62,306,cat_4
11,2131,140,132,cat_1
12,2243,212,204,cat_4
13,1061,312,192,cat_1
14,1886,240,264,cat_2
15,2681,194,81,cat_3
16,321,49,153,cat_4
17,335,256,209,cat_0
18,2382,231,113,cat_2
19,1008,164,278,cat_3
20,2652,41,110,cat_3
21,863,308,300,cat_3
22,229,159,208,cat_2
23,462,201,170,cat_3
24,2892,112,44,cat_4
25,547,225,117,cat_1
26,2275,44,11,cat_3
27,2165,215,204,cat_2
28,2829,183,297,cat_4
29,682,183,162,cat_2
30,2770,5,98,cat_0
31,2403,179,300,cat_1
32,2998,259,116,cat_1
33,1694,311,23,cat_1
34,1629,132,249,cat_0
35,1773,210,182,cat_4
36,2718,10,180,cat_0
37,2356,1,201,cat_3
38,2185,233,81,cat_1
39,454,72,26,cat_0
40,545,270,153,cat_0
41,1883,240,2,cat_2
42,754,29,149,cat_4
43,2010,296,292,cat_1
44,199,114,312,cat_3
45,517,185,259,cat_2
46,1501,272,23,cat_2
47,411,192,220,cat_0
48,2242,255,204,cat_3
49,2920,104,55,cat_4
50,2187,314,153,cat_3
51,487,35,212,cat_4
52,3106,314,241,cat_4
53,282,19,105,cat_0
54,2186,155,288,cat_3
55,1405,164,134,cat_0
56,2353,283,243,cat_3
57,2834,274,139,cat_3
58,2968,204,199,cat_2
59,2691,34,121,cat_4
60,1967,247,111,cat_0
61,131,45,3,cat_3
62,710,290,113,cat_3
63,3042,85,186,cat_4
64,2327,77,291,cat_0
65,1367,264,80,cat_0
66,923,132,297,cat_4
67,2399,136,72,cat_3
68,2029,142,18,cat_4
69,1189,103,203,cat_4
70,1878,116,144,cat_4
71,2582,51,223,cat_2
72,1619,53,53,cat_3
73,250,299,167,cat_3
74,483,243,94,cat_0
75,2777,127,260,cat_3
76,1229,188,6,cat_2
77,934,138,249,cat_4
78,2788,298,88,cat_4
79,71,59,144,cat_3
80,1176,265,8,cat_4
81,1100,48,245,cat_0
82,1048,178,176,cat_0
83,8,58,44,cat_2
84,1157,210,313,cat_1
85,2324,120,170,cat_1
86,2923,98,39,cat_3
87,574,108,296,cat_4
88,1319,257,164,cat_1
89,3095,145,185,cat_3
90,2112,167,309,cat_4
91,2761,86,193,cat_3
92,782,27,18,cat_1
93,2295,257,306,cat_4
94,53,183,273,cat_2
95,762,159,190,cat_3
96,98,72,39,cat_2
97,226,124,220,cat_1
98,3087,229,1,cat_0
99,2819,256,131,cat_1
100,2826,263,81,cat_1
101,2693,224,27,cat_0
102,2654,310,262,cat_1
103,2354,194,29,cat_2
104,188,269,85,cat_3
105,1825,172,154,cat_0
106,1087,259,112,cat_3
107,1823,228,233,cat_1
108,1517,237,26,cat_0
109,2041,15,263,cat_4
110,2441,160,235,cat_1
111,1513,130,162,cat_1
112,2560,186,11,cat_2
113,1286,21,230,cat_1
114,825,157,103,cat_3
115,3140,82,233,cat_1
116,3012,148,152,cat_0
117,1688,312,202,cat_0
118,1286,24,311,cat_2
119,1407,134,23,cat_3
120,3107,236,296,cat_3
121,141,92,154,cat_4
122,854,31,100,cat_3
123,2726,87,175,cat_4
124,1874,132,139,cat_3
125,1385,86,5,cat_0
126,1329,246,251,cat_4
127,662,307,258,cat_1
128,99,216,67,cat_1
129,2460,229,169,cat_3
130,1615,246,272,cat_4
131,1417,248,146,cat_4
132,2152,198,123,cat_0
133,48,275,86,cat_1
134,1911,255,226,cat_2
135,1649,226,287,cat_2
136,827,109,88,cat_4
137,269,83,17,cat_1
138,365,26,277,cat_4
139,68,8,1,cat_0
