id,value,weight,volume,category
0,977,69,51,cat_2
1,109,35,40,cat_3
2,583,49,40,cat_1
3,649,16,84,cat_0
4,454,48,74,cat_2
5,733,50,35,cat_4
6,789,91,58,cat_1
7,371,86,31,cat_1
8,462,35,84,cat_3
9,815,28,29,cat_4
10,924,65,75,cat_3
11,962,69,78,cat_0
12,542,52,87,cat_0
13,975,79,92,cat_2
14,444,22,87,cat_2
15,938,12,96,cat_0
16,823,2,96,cat_4
17,640,25,51,cat_3
18,637,8,87,cat_4
19,104,56,99,cat_1
20,888,53,80,cat_2
21,154,93,85,cat_1
22,66,4,9,cat_3
23,215,71,4,cat_3
24,236,98,8,cat_0
25,89,3,2,cat_1
26,267,86,35,cat_3
27,185,89,72,cat_2
28,396,28,43,cat_1
29,124,60,49,cat_4
30,433,56,42,cat_2
31,176,36,10,cat_4
32,287,99,64,cat_4
33,423,18,76,cat_2
34,707,88,53,cat_3
35,133,40,29,cat_1
36,359,89,79,cat_1
37,157,7,75,cat_4
38,208,29,19,cat_4
39,371,11,17,cat_2
40,480,10,70,cat_1
41,745,20,72,cat_1
42,312,15,1,cat_3
43,350,98,97,cat_1
44,550,78,76,cat_2
45,567,59,45,cat_2
46,353,13,30,cat_1
47,714,14,9,cat_2
48,890,76,76,cat_4
49,893,51,46,cat_1
50,480,55,95,cat_4
51,274,44,89,cat_4
52,985,47,21,cat_3
53,230,15,85,cat_1
54,938,39,20,cat_3
55,794,73,79,cat_2
56,483,43,99,cat_3
57,355,51,56,cat_2
58,902,25,62,cat_2
59,641,66,60,cat_1
60,678,60,97,cat_3
61,359,57,91,cat_1
62,29,37,14,cat_2
63,133,29,27,cat_4
64,815,18,21,cat_4
65,721,11,33,cat_4
66,969,79,3,cat_3
67,596,53,64,cat_3
68,281,58,30,cat_1
69,697,69,61,cat_1
70,771,91,67,cat_3
71,18,29,48,cat_0
72,62,38,70,cat_1
73,859,11,78,cat_1
74,166,100,85,cat_1
75,386,75,91,cat_3
76,585,11,68,cat_1
77,256,44,67,cat_2
78,247,84,62,cat_1
79,142,73,59,cat_3
80,714,20,13,cat_4
81,813,47,8,cat_4
82,604,57,17,cat_0
83,839,22,31,cat_1
84,278,48,33,cat_2
85,397,28,5,cat_0
86,121,57,21,cat_1
87,443,21,86,cat_1
88,380,58,54,cat_3
89,836,11,13,cat_1
90,124,92,37,cat_3
91,943,47,28,cat_0
92,15,35,64,cat_0
93,494,37,56,cat_0
94,332,92,69,cat_3
95,706,63,100,cat_3
96,246,13,76,cat_3
97,436,10,82,cat_4
98,56,89,50,cat_1
99,219,47,12,cat_3
