instance_size,population,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,h2d_transfer_ms,d2h_transfer_ms,feasible_pct,init_fitness,final_fitness,improvement
small,1024,sequential,42,0.248904,Yes,742,,,,,100,0.165725,0.248904,0.0831797
small,1024,sequential,43,0.248904,Yes,926,,,,,100,0.176552,0.248904,0.0723524
small,1024,sequential,44,0.248904,Yes,812,,,,,100,0.165758,0.248904,0.0831468
small,1024,sequential,45,0.248904,Yes,809,,,,,100,0.167638,0.248904,0.0812666
small,1024,sequential,46,0.248904,Yes,807,,,,,100,0.1688,0.248904,0.0801039
small,1024,sequential,47,0.248904,Yes,897,,,,,100,0.15827,0.248904,0.0906343
small,1024,sequential,48,0.248904,Yes,861,,,,,100,0.177673,0.248904,0.0712309
small,1024,sequential,49,0.248904,Yes,877,,,,,100,0.167399,0.248904,0.0815057
small,1024,sequential,50,0.248904,Yes,1297,,,,,100,0.166252,0.248904,0.082652
small,1024,sequential,51,0.248904,Yes,934,,,,,100,0.168231,0.248904,0.0806729
small,1024,cuda_basic,42,0.248904,Yes,864,2.59072,13.2487,2.43274,3.35504,23.5352,0.160158,0.248904,0.088746
small,1024,cuda_basic,43,0.248904,Yes,230,5.00029,25.2884,0.276576,6.4112,22.2656,0.146057,0.248904,0.102847
small,1024,cuda_basic,44,0.248904,Yes,199,3.09686,14.4034,0.23472,3.55757,21.875,0.147888,0.248904,0.101016
small,1024,cuda_basic,45,0.248904,Yes,215,3.94618,20.2549,0.219424,5.11309,23.8281,0.168149,0.248904,0.0807554
small,1024,cuda_basic,46,0.248904,Yes,224,4.21092,20.8554,0.223872,5.45706,21.7773,0.177302,0.248904,0.071602
small,1024,cuda_basic,47,0.248904,Yes,210,3.63367,19.206,0.211616,4.9561,21.582,0.153685,0.248904,0.0952193
small,1024,cuda_basic,48,0.248847,Yes,220,4.18061,20.5369,0.220384,5.19056,23.7305,0.159614,0.248847,0.0892325
small,1024,cuda_basic,49,0.248904,Yes,220,3.89453,19.4777,0.206656,4.90906,23.1445,0.154435,0.248904,0.0944689
small,1024,cuda_basic,50,0.248904,Yes,209,3.79395,19.8042,0.21088,4.91075,25.4883,0.160414,0.248904,0.0884903
small,1024,cuda_basic,51,0.248113,Yes,223,4.18131,21.7715,0.213536,5.37478,27.4414,0.16377,0.248113,0.0843425
small,1024,cuda_optimized,42,0.248904,Yes,202,2.90659,27.6736,0.229792,3.40874,23.5352,0.160158,0.248904,0.088746
small,1024,cuda_optimized,43,0.248904,Yes,257,5.63926,53.7731,0.219104,6.8449,22.2656,0.146057,0.248904,0.102847
small,1024,cuda_optimized,44,0.248904,Yes,212,3.40586,30.5622,0.226016,4.12093,21.875,0.147888,0.248904,0.101016
small,1024,cuda_optimized,45,0.248904,Yes,244,5.48544,43.2597,0.226144,5.16295,23.8281,0.168149,0.248904,0.0807554
small,1024,cuda_optimized,46,0.248904,Yes,238,4.80861,44.4814,0.220448,5.18464,21.7773,0.177302,0.248904,0.071602
small,1024,cuda_optimized,47,0.248904,Yes,239,4.89939,40.9405,0.219456,4.97914,21.582,0.153685,0.248904,0.0952193
small,1024,cuda_optimized,48,0.248847,Yes,242,4.69469,43.5468,0.227168,5.2815,23.7305,0.159614,0.248847,0.0892325
small,1024,cuda_optimized,49,0.248904,Yes,228,3.91408,41.3155,0.219072,5.05773,23.1445,0.154435,0.248904,0.0944689
small,1024,cuda_optimized,50,0.248904,Yes,237,4.16531,41.98,0.239776,4.99558,25.4883,0.160414,0.248904,0.0884903
small,1024,cuda_optimized,51,0.248113,Yes,251,4.37437,45.6812,0.234912,5.41174,27.4414,0.16377,0.248113,0.0843425
small,4096,sequential,42,0.248904,Yes,3311,,,,,100,0.175554,0.248904,0.0733502
small,4096,sequential,43,0.248904,Yes,2927,,,,,100,0.17468,0.248904,0.0742243
small,4096,sequential,44,0.248904,Yes,2823,,,,,100,0.178613,0.248904,0.0702909
small,4096,sequential,45,0.248904,Yes,2506,,,,,100,0.175975,0.248904,0.0729297
small,4096,sequential,46,0.248904,Yes,2808,,,,,100,0.175356,0.248904,0.0735481
small,4096,sequential,47,0.248904,Yes,2722,,,,,100,0.178094,0.248904,0.0708104
small,4096,sequential,48,0.248904,Yes,2991,,,,,100,0.176783,0.248904,0.0721215
small,4096,sequential,49,0.248904,Yes,2739,,,,,100,0.176807,0.248904,0.0720968
small,4096,sequential,50,0.248904,Yes,3562,,,,,100,0.178729,0.248904,0.0701754
small,4096,sequential,51,0.248904,Yes,2373,,,,,100,0.177335,0.248904,0.071569
small,4096,cuda_basic,42,0.248904,Yes,327,3.97503,27.4309,0.291168,6.98051,21.3867,0.156258,0.248904,0.0926464
small,4096,cuda_basic,43,0.248904,Yes,261,3.03216,21.1527,0.317696,5.10192,22.4121,0.165329,0.248904,0.0835756
small,4096,cuda_basic,44,0.248904,Yes,299,4.1839,28.4604,0.27296,6.87354,22.3389,0.165576,0.248904,0.0833282
small,4096,cuda_basic,45,0.248904,Yes,287,3.69977,25.906,0.284192,6.84979,23.1689,0.166046,0.248904,0.0828582
small,4096,cuda_basic,46,0.248904,Yes,283,3.64464,25.3037,0.286912,6.52055,21.6309,0.168561,0.248904,0.0803431
small,4096,cuda_basic,47,0.248904,Yes,284,3.63417,24.9549,0.362624,6.42576,22.29,0.163449,0.248904,0.0854557
small,4096,cuda_basic,48,0.248904,Yes,292,3.66188,25.1812,0.279168,6.0625,23.1445,0.168355,0.248904,0.0805492
small,4096,cuda_basic,49,0.248904,Yes,289,3.86013,25.769,0.285312,6.79225,22.5342,0.161189,0.248904,0.0877152
small,4096,cuda_basic,50,0.248904,Yes,307,4.2432,28.2572,0.272032,7.29382,23.584,0.160769,0.248904,0.0881357
small,4096,cuda_basic,51,0.248904,Yes,277,3.24768,22.2365,0.32608,6.51712,21.6064,0.167514,0.248904,0.0813903
small,4096,cuda_optimized,42,0.248904,Yes,294,4.04455,35.2051,0.349344,7.29002,21.3867,0.156258,0.248904,0.0926464
small,4096,cuda_optimized,43,0.248904,Yes,268,3.09069,27.1892,0.271584,5.45395,22.4121,0.165329,0.248904,0.0835756
small,4096,cuda_optimized,44,0.248904,Yes,299,4.12135,36.677,0.308736,7.28007,22.3389,0.165576,0.248904,0.0833282
small,4096,cuda_optimized,45,0.248904,Yes,279,3.77123,33.2369,0.28704,6.27229,23.1689,0.166046,0.248904,0.0828582
