instance,population,block_size,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,transfer_overhead_pct
large,4096,32,cuda_basic,42,0.196701,Yes,64372,524.025,62299.7,0.0315345
large,4096,32,cuda_basic,43,0.196392,Yes,66296,525.868,64236.7,0.0308533
large,4096,32,cuda_basic,44,0.195595,Yes,64277,524.772,62242.6,0.0313324
large,4096,32,cuda_basic,45,0.196069,Yes,64143,525.286,62128,0.0309992
large,4096,32,cuda_basic,46,0.196503,Yes,64310,525.779,62290.6,0.0312484
large,4096,32,cuda_basic,47,0.19703,Yes,63811,524.601,61794.4,0.0316821
large,4096,32,cuda_basic,48,0.195513,Yes,64267,525.893,62249,0.0314267
large,4096,32,cuda_basic,49,0.197184,Yes,64089,524.752,62071.4,0.0318084
large,4096,32,cuda_basic,50,0.196597,Yes,64282,525.062,62263.4,0.0314069
large,4096,32,cuda_basic,51,0.196616,Yes,64100,525.223,62080.1,0.0315738
large,4096,32,cuda_optimized,42,0.196701,Yes,81707,534.401,79965.9,0.0255376
large,4096,32,cuda_optimized,43,0.196392,Yes,81721,539.038,79971.9,0.0253858
large,4096,32,cuda_optimized,44,0.195595,Yes,81707,541.847,79879.6,0.0257779
large,4096,32,cuda_optimized,45,0.196069,Yes,81442,538.898,79676.7,0.0259653
large,4096,32,cuda_optimized,46,0.196503,Yes,81430,540.9,79682.8,0.0256074
large,4096,32,cuda_optimized,47,0.19703,Yes,84387,546.612,82598.8,0.0252817
large,4096,32,cuda_optimized,48,0.195513,Yes,86640,565.294,84796.3,0.0254951
large,4096,32,cuda_optimized,49,0.197184,Yes,89909,574.81,88009.8,0.0244713
large,4096,32,cuda_optimized,50,0.196597,Yes,90146,575.38,88236.1,0.0238602
large,4096,32,cuda_optimized,51,0.196616,Yes,88395,566.958,86529.1,0.0254416
large,4096,64,cuda_basic,42,0.196701,Yes,61297,525.694,59378.3,0.0364073
large,4096,64,cuda_basic,43,0.196392,Yes,59609,525.245,57763.5,0.0354599
large,4096,64,cuda_basic,44,0.195595,Yes,59977,523.271,58096.2,0.0356203
large,4096,64,cuda_basic,45,0.196069,Yes,61182,524.915,59323.7,0.0343618
large,4096,64,cuda_basic,46,0.196503,Yes,59939,525.427,58086.7,0.0347919
large,4096,64,cuda_basic,47,0.19703,Yes,53584,519.356,51833.3,0.0370825
large,4096,64,cuda_basic,48,0.195513,Yes,53817,519.956,52076,0.0373945
large,4096,64,cuda_basic,49,0.197184,Yes,53786,519.625,52045.2,0.0373211
large,4096,64,cuda_basic,50,0.196597,Yes,56845,521.518,55063.4,0.0357123
large,4096,64,cuda_basic,51,0.196616,Yes,56373,521.296,54581.9,0.0367907
large,4096,64,cuda_optimized,42,0.196701,Yes,81530,531.559,79771.7,0.0260345
large,4096,64,cuda_optimized,43,0.196392,Yes,81549,531.656,79803.2,0.0253987
large,4096,64,cuda_optimized,44,0.195595,Yes,81603,533.05,79839.5,0.0256842
large,4096,64,cuda_optimized,45,0.196069,Yes,81467,530.694,79714.1,0.0256391
large,4096,64,cuda_optimized,46,0.196503,Yes,81758,531.701,80022.4,0.0253636
large,4096,64,cuda_optimized,47,0.19703,Yes,81377,530.746,79632.4,0.0254226
large,4096,64,cuda_optimized,48,0.195513,Yes,81605,532.1,79873.8,0.0256209
large,4096,64,cuda_optimized,49,0.197184,Yes,81518,532.306,79767.3,0.0253786
large,4096,64,cuda_optimized,50,0.196597,Yes,81696,530.755,79964.6,0.0254109
large,4096,64,cuda_optimized,51,0.196616,Yes,81432,532.986,79687,0.0255823
large,4096,128,cuda_basic,42,0.196701,Yes,66771,504.821,65041.9,0.030981
large,4096,128,cuda_basic,43,0.196392,Yes,64675,504.932,62981,0.0313878
large,4096,128,cuda_basic,44,0.195595,Yes,64027,503.472,62360.3,0.0312017
large,4096,128,cuda_basic,45,0.196069,Yes,63870,503.256,62194,0.0317989
large,4096,128,cuda_basic,46,0.196503,Yes,64142,504.375,62456.6,0.0314584
large,4096,128,cuda_basic,47,0.19703,Yes,63692,503.412,62015.6,0.0312746
large,4096,128,cuda_basic,48,0.195513,Yes,64198,503.793,62520.4,0.0313297
large,4096,128,cuda_basic,49,0.197184,Yes,64002,499.449,62306.7,0.0321632
large,4096,128,cuda_basic,50,0.196597,Yes,64093,499.769,62430.2,0.0312507
