instance,population,variant,seed,best_fitness,feasible,wall_time_ms,kernel_time_ms
large,1024,sequential,42,0.208247,Yes,315772,0.0
large,1024,sequential,43,0.207545,Yes,318699,0.0
large,1024,sequential,44,0.205862,Yes,168274,0.0
large,1024,sequential,45,0.208436,Yes,285565,0.0
large,1024,sequential,46,0.208078,Yes,298767,0.0
large,1024,sequential,47,0.208733,Yes,312377,0.0
large,1024,sequential,48,0.208261,Yes,314197,0.0
large,1024,sequential,49,0.208388,Yes,317472,0.0
large,1024,sequential,50,0.207614,Yes,317448,0.0
large,1024,sequential,51,0.208498,Yes,314819,0.0
large,1024,cuda_basic,42,0.194788,Yes,52337,51634.84
large,1024,cuda_basic,43,0.194862,Yes,51466,50793.22
large,1024,cuda_basic,44,0.194247,Yes,36585,36009.7
large,1024,cuda_basic,45,0.195323,Yes,53556,52835.89
large,1024,cuda_basic,46,0.193716,Yes,33326,32757.91
large,1024,cuda_basic,47,0.192405,Yes,26570,26056.87
large,1024,cuda_basic,48,0.196187,Yes,53157,52449.27
large,1024,cuda_basic,49,0.195017,Yes,51208,50562.87
large,1024,cuda_basic,50,0.195962,Yes,51001,50358.43
large,1024,cuda_basic,51,0.196434,Yes,50753,50116.68
large,1024,cuda_optimized,42,0.194788,Yes,92782,92142.33
large,1024,cuda_optimized,43,0.194862,Yes,87235,86645.28
large,1024,cuda_optimized,44,0.194247,Yes,63260,62682.4
large,1024,cuda_optimized,45,0.195323,Yes,91733,91098.0
large,1024,cuda_optimized,46,0.193716,Yes,56847,56343.4
large,1024,cuda_optimized,47,0.192405,Yes,42027,41595.03
large,1024,cuda_optimized,48,0.196187,Yes,83929,83410.43
large,1024,cuda_optimized,49,0.195017,Yes,83521,83002.81
large,1024,cuda_optimized,50,0.195962,Yes,83104,82585.93
large,1024,cuda_optimized,51,0.196434,Yes,83977,83466.84
large,4096,sequential,42,0.209023,Yes,1260395,0.0
large,4096,sequential,43,0.209027,Yes,1259933,0.0
large,4096,sequential,44,0.20939,Yes,1246604,0.0
large,4096,sequential,45,0.208101,Yes,944868,0.0
large,4096,sequential,46,0.208727,Yes,1144870,0.0
large,4096,sequential,47,0.208861,Yes,1123561,0.0
large,4096,sequential,48,0.208385,Yes,1070482,0.0
large,4096,sequential,49,0.209419,Yes,1247577,0.0
large,4096,sequential,50,0.209054,Yes,1243405,0.0
large,4096,sequential,51,0.210215,Yes,1232304,0.0
large,4096,cuda_basic,42,0.196701,Yes,63798,62564.57
large,4096,cuda_basic,43,0.196392,Yes,63796,62634.0
large,4096,cuda_basic,44,0.195595,Yes,63929,62753.61
large,4096,cuda_basic,45,0.196069,Yes,63801,62639.59
large,4096,cuda_basic,46,0.196503,Yes,64003,62839.91
large,4096,cuda_basic,47,0.19703,Yes,63514,62352.73
large,4096,cuda_basic,48,0.195513,Yes,65728,64517.29
large,4096,cuda_basic,49,0.197184,Yes,63901,62743.89
large,4096,cuda_basic,50,0.196597,Yes,64110,62932.53
large,4096,cuda_basic,51,0.196616,Yes,63969,62798.26
large,4096,cuda_optimized,42,0.196701,Yes,78382,77201.26
large,4096,cuda_optimized,43,0.196392,Yes,78374,77211.56
large,4096,cuda_optimized,44,0.195595,Yes,78455,77280.68
large,4096,cuda_optimized,45,0.196069,Yes,78315,77129.71
large,4096,cuda_optimized,46,0.196503,Yes,78611,77436.15
large,4096,cuda_optimized,47,0.19703,Yes,78200,77028.14
large,4096,cuda_optimized,48,0.195513,Yes,78518,77331.45
large,4096,cuda_optimized,49,0.197184,Yes,78363,77191.57
large,4096,cuda_optimized,50,0.196597,Yes,78524,77336.11
large,4096,cuda_optimized,51,0.196616,Yes,78358,77182.17
large,16384,sequential,42,,,,0.0
large,16384,sequential,43,,,,0.0
large,16384,sequential,44,,,,0.0
large,16384,sequential,45,,,,0.0
large,16384,sequential,46,,,,0.0
large,16384,sequential,47,,,,0.0
large,16384,sequential,48,,,,0.0
large,16384,sequential,49,,,,0.0
large,16384,sequential,50,,,,0.0
large,16384,sequential,51,,,,0.0
large,16384,cuda_basic,42,0.196835,Yes,107477,103490.09
large,16384,cuda_basic,43,0.197242,Yes,127514,123395.17
large,16384,cuda_basic,44,0.19686,Yes,131581,127410.44
large,16384,cuda_basic,45,0.197166,Yes,131090,126916.27
large,16384,cuda_basic,46,0.196537,Yes,132336,128169.56
large,16384,cuda_basic,47,0.197028,Yes,130882,126706.28
large,16384,cuda_basic,48,0.197132,Yes,131103,126939.33
large,16384,cuda_basic,49,0.197921,Yes,130906,126739.53
large,16384,cuda_basic,50,0.197353,Yes,131153,126999.69
large,16384,cuda_basic,51,0.197109,Yes,130595,126449.49
large,16384,cuda_optimized,42,0.196835,Yes,103824,99864.77
large,16384,cuda_optimized,43,0.197242,Yes,123174,119017.1
large,16384,cuda_optimized,44,0.19686,Yes,126536,122352.95
large,16384,cuda_optimized,45,0.197166,Yes,126601,122375.55
large,16384,cuda_optimized,46,0.196537,Yes,126124,121922.7
large,16384,cuda_optimized,47,0.197028,Yes,126108,121933.89
large,16384,cuda_optimized,48,0.197132,Yes,126289,122103.61
large,16384,cuda_optimized,49,0.197921,Yes,126495,122322.93
large,16384,cuda_optimized,50,0.197353,Yes,126732,122527.96
large,16384,cuda_optimized,51,0.197109,Yes,127065,122858.77
