Instancia,Población,Variante,Promedio (ms),Desv.Est (ms),Min (ms),Max (ms)
small,1024,sequential,896.20,145.26,742.00,1297.00
small,1024,cuda_basic,281.40,194.38,199.00,864.00
small,1024,cuda_optimized,235.00,16.02,202.00,257.00
small,4096,sequential,2876.20,333.99,2373.00,3562.00
small,4096,cuda_basic,290.60,16.87,261.00,327.00
small,4096,cuda_optimized,284.50,10.25,268.00,301.00
small,16384,sequential,10718.30,757.25,9380.00,12014.00
small,16384,cuda_basic,542.30,41.80,498.00,648.00
small,16384,cuda_optimized,524.60,42.93,482.00,633.00
medium,1024,sequential,21937.30,4247.82,12480.00,26953.00
medium,1024,cuda_basic,924.80,125.30,761.00,1112.00
medium,1024,cuda_optimized,1486.50,202.18,1217.00,1754.00
medium,4096,sequential,82461.10,18435.87,59820.00,109453.00
medium,4096,cuda_basic,1498.50,235.85,1003.00,1719.00
medium,4096,cuda_optimized,1901.80,300.63,1265.00,2156.00
medium,16384,sequential,417300.10,25396.79,373734.00,441751.00
medium,16384,cuda_basic,3132.30,422.44,2525.00,3947.00
medium,16384,cuda_optimized,2878.90,501.33,2227.00,4003.00
large,1024,sequential,296339.00,43829.28,168274.00,318699.00
large,1024,cuda_basic,45995.90,9380.15,26570.00,53556.00
large,1024,cuda_optimized,76841.50,16016.09,42027.00,92782.00
large,4096,sequential,1177399.90,100122.13,944868.00,1260395.00
large,4096,cuda_basic,64054.90,578.10,63514.00,65728.00
large,4096,cuda_optimized,78410.00,112.78,78200.00,78611.00
large,16384,cuda_basic,128463.70,7095.82,107477.00,132336.00
large,16384,cuda_optimized,123894.80,6768.43,103824.00,127065.00
