instance_size,population,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,h2d_transfer_ms,d2h_transfer_ms,feasible_pct,init_fitness,final_fitness,improvement
small,512,sequential,42,0.248904,Yes,488,0.152944,0.248904,0.096
small,512,sequential,43,0.248904,Yes,456,0.144911,0.248904,0.104
small,512,sequential,44,0.248847,Yes,716,0.142074,0.248847,0.1068
small,512,sequential,45,0.248904,Yes,610,0.144053,0.248904,0.1049
small,512,sequential,46,0.248904,Yes,566,0.151516,0.248904,0.0974
small,512,sequential,47,0.248904,Yes,597,0.15146,0.248904,0.0974
small,512,sequential,48,0.248904,Yes,717,0.140829,0.248904,0.1081
small,512,sequential,49,0.248904,Yes,606,0.149448,0.248904,0.0995
small,512,sequential,50,0.24817,Yes,523,0.153965,0.24817,0.0942
small,512,sequential,51,0.248847,Yes,393,0.137745,0.248847,0.1111
small,512,cuda_basic,42,0.248541,Yes,599,5.17353,36.2566,0.51392,14.3235,23.4375,0.154905,0.248541,0.0936
small,512,cuda_basic,43,0.248904,Yes,179,4.00035,28.5537,0.521184,11.2554,21.875,0.14595,0.248904,0.103
small,512,cuda_basic,44,0.248904,Yes,208,5.55673,37.0451,0.579584,15.6186,21.4844,0.149743,0.248904,0.0992
small,512,cuda_basic,45,0.248904,Yes,183,4.24886,29.9639,0.4976,11.549,22.4609,0.15197,0.248904,0.0969
small,512,cuda_basic,46,0.24803,Yes,162,3.36732,23.39,0.524416,9.13251,22.4609,0.152597,0.24803,0.0954
small,512,cuda_basic,47,0.248212,Yes,208,5.58924,38.2939,0.49568,15.0521,27.1484,0.157355,0.248212,0.0909
small,512,cuda_basic,48,0.248904,Yes,143,2.51712,17.4422,0.528384,6.7121,21.4844,0.150337,0.248904,0.0986
small,512,cuda_basic,49,0.248385,Yes,192,4.68505,32.1192,0.741376,12.5389,19.3359,0.152184,0.248385,0.0962
small,512,cuda_basic,50,0.248904,Yes,172,3.85593,27.2335,0.519168,10.4556,22.2656,0.146667,0.248904,0.1022
small,512,cuda_basic,51,0.248904,Yes,166,3.4695,19.6662,0.495616,10.0452,23.2422,0.168132,0.248904,0.0808
small,512,cuda_optimized,42,0.248541,Yes,226,11.0843,53.5846,0.616448,12.3881,23.4375,0.154905,0.248541,0.0936
small,512,cuda_optimized,43,0.248904,Yes,199,9.05107,42.4571,0.528192,10.4142,21.875,0.14595,0.248904,0.103
small,512,cuda_optimized,44,0.248904,Yes,224,11.219,53.9037,0.505856,12.7113,21.4844,0.149743,0.248904,0.0992
small,512,cuda_optimized,45,0.248904,Yes,200,9.6424,45.3043,0.496736,10.1837,22.4609,0.15197,0.248904,0.0969
small,512,cuda_optimized,46,0.24803,Yes,173,7.06701,34.0667,0.52224,7.48803,22.4609,0.152597,0.24803,0.0954
small,512,cuda_optimized,47,0.248212,Yes,236,12.1191,56.6623,0.49152,12.7309,27.1484,0.157355,0.248212,0.0909
small,512,cuda_optimized,48,0.248904,Yes,149,5.36579,24.2958,0.47616,5.74077,21.4844,0.150337,0.248904,0.0986
small,512,cuda_optimized,49,0.248385,Yes,217,10.6379,44.9725,0.52224,11.8587,19.3359,0.152184,0.248385,0.0962
small,512,cuda_optimized,50,0.248904,Yes,196,9.55107,37.8945,0.514048,10.5274,22.2656,0.146667,0.248904,0.1022
small,512,cuda_optimized,51,0.248904,Yes,168,6.54077,29.4177,0.54784,7.7274,23.2422,0.168132,0.248904,0.0808
