instance,population,block_size,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,transfer_overhead_pct
large,4096,32,cuda_basic,42,0.222223,Yes,1795,39.429,1139.07,0.971875
large,4096,32,cuda_basic,43,0.223777,Yes,1818,39.6043,1158.08,0.987399
large,4096,32,cuda_basic,44,0.224195,Yes,1846,41.7274,1192.05,0.976002
large,4096,32,cuda_basic,45,0.223073,Yes,1968,44.1431,1269.1,0.956067
large,4096,32,cuda_basic,46,0.219957,Yes,1149,24.5377,694.353,0.91955
large,4096,32,cuda_basic,47,0.223704,Yes,1478,32.099,923.252,0.961017
large,4096,32,cuda_basic,48,0.220541,Yes,1267,27.6876,785.918,0.946677
large,4096,32,cuda_basic,49,0.223865,Yes,1945,43.7798,1262.66,0.966724
large,4096,32,cuda_basic,50,0.224602,Yes,1926,43.2055,1235.47,0.942729
large,4096,32,cuda_basic,51,0.224233,Yes,1933,43.8133,1260.28,1.00871
large,4096,32,cuda_optimized,42,0.222223,Yes,2645,44.5696,2038.07,0.610742
large,4096,32,cuda_optimized,43,0.223777,Yes,2676,44.7203,2067.61,0.613293
large,4096,32,cuda_optimized,44,0.224195,Yes,2790,46.5253,2156.52,0.609331
large,4096,32,cuda_optimized,45,0.223073,Yes,2974,49.9854,2306.13,0.617085
large,4096,32,cuda_optimized,46,0.219957,Yes,1711,27.7781,1261.95,0.65438
large,4096,32,cuda_optimized,47,0.223704,Yes,2188,36.2466,1676.82,0.610862
large,4096,32,cuda_optimized,48,0.220541,Yes,1904,31.2506,1430.94,0.617503
large,4096,32,cuda_optimized,49,0.223865,Yes,2993,50.3481,2313.8,0.630455
large,4096,32,cuda_optimized,50,0.224602,Yes,2934,49.1516,2274.88,0.625006
large,4096,32,cuda_optimized,51,0.224233,Yes,2973,50.0405,2311.82,0.619323
large,4096,64,cuda_basic,42,0.222223,Yes,1769,39.3839,1149.14,0.975315
large,4096,64,cuda_basic,43,0.223777,Yes,1773,39.9102,1173.25,0.943298
large,4096,64,cuda_basic,44,0.224195,Yes,1848,41.873,1208.67,0.913465
large,4096,64,cuda_basic,45,0.223073,Yes,1944,44.698,1296.79,0.935235
large,4096,64,cuda_basic,46,0.219957,Yes,1158,25.0008,712.461,0.994946
large,4096,64,cuda_basic,47,0.223704,Yes,1489,32.6119,947.471,0.965178
large,4096,64,cuda_basic,48,0.220541,Yes,1289,28.1365,805.881,0.958039
large,4096,64,cuda_basic,49,0.223865,Yes,1944,44.7776,1298.82,1.04787
large,4096,64,cuda_basic,50,0.224602,Yes,1931,44.1861,1271.36,1.01103
large,4096,64,cuda_basic,51,0.224233,Yes,1982,44.7027,1295.32,0.986322
large,4096,64,cuda_optimized,42,0.222223,Yes,2624,44.8213,2047.11,0.62076
large,4096,64,cuda_optimized,43,0.223777,Yes,2659,45.0722,2073.77,0.620823
large,4096,64,cuda_optimized,44,0.224195,Yes,2780,47.6783,2160.58,0.634869
large,4096,64,cuda_optimized,45,0.223073,Yes,2966,50.5192,2316.49,0.629044
large,4096,64,cuda_optimized,46,0.219957,Yes,1693,28.3803,1266.31,0.634795
large,4096,64,cuda_optimized,47,0.223704,Yes,2210,36.8758,1683.01,0.630963
large,4096,64,cuda_optimized,48,0.220541,Yes,1918,31.7259,1437.35,0.619507
large,4096,64,cuda_optimized,49,0.223865,Yes,2967,50.8814,2321.3,0.614671
large,4096,64,cuda_optimized,50,0.224602,Yes,3022,50.1787,2351.34,0.675555
large,4096,64,cuda_optimized,51,0.224233,Yes,3098,50.7757,2394.8,0.689375
large,4096,128,cuda_basic,42,0.222223,Yes,1809,40.6272,1198.05,1.041
large,4096,128,cuda_basic,43,0.223777,Yes,1868,41.5071,1222.59,1.01192
large,4096,128,cuda_basic,44,0.224195,Yes,1881,43.173,1254.1,1.06001
large,4096,128,cuda_basic,45,0.223073,Yes,2021,46.1691,1341.13,1.07635
large,4096,128,cuda_basic,46,0.219957,Yes,1205,25.8633,736.969,1.04903
