instance,population,variant,seed,best_fitness,feasible,wall_time_ms,kernel_time_ms
large,512,sequential,42,0.207167,Yes,147882,0.28
large,512,sequential,43,0.207244,Yes,147902,0.28
large,512,sequential,44,0.207751,Yes,147963,0.28
large,512,sequential,45,0.206567,Yes,147582,0.28
large,512,sequential,46,0.206776,Yes,121313,0.28
large,512,sequential,47,0.207128,Yes,147716,0.28
large,512,sequential,48,0.206839,Yes,132005,0.28
large,512,sequential,49,0.206929,Yes,147574,0.28
large,512,sequential,50,0.207901,Yes,147600,0.28
large,512,sequential,51,0.207981,Yes,147957,0.28
large,512,cuda_basic,42,0.194346,Yes,56657,56313.58
large,512,cuda_basic,43,0.1947,Yes,63304,62997.41
large,512,cuda_basic,44,0.192947,Yes,47196,46929.84
large,512,cuda_basic,45,0.193705,Yes,67789,67472.01
large,512,cuda_basic,46,0.192846,Yes,51708,51436.54
large,512,cuda_basic,47,0.1936,Yes,64735,64432.24
large,512,cuda_basic,48,0.194212,Yes,66684,66388.74
large,512,cuda_basic,49,0.192581,Yes,45625,45366.61
large,512,cuda_basic,50,0.193807,Yes,67368,67063.67
large,512,cuda_basic,51,0.193522,Yes,67982,67678.91
large,512,cuda_optimized,42,0.194346,Yes,70570,70283.36
large,512,cuda_optimized,43,0.1947,Yes,78584,78251.17
large,512,cuda_optimized,44,0.192947,Yes,58226,57960.99
large,512,cuda_optimized,45,0.193705,Yes,84712,84386.93
large,512,cuda_optimized,46,0.192846,Yes,64743,64454.14
large,512,cuda_optimized,47,0.1936,Yes,82360,81857.43
large,512,cuda_optimized,48,0.194212,Yes,86372,86047.85
large,512,cuda_optimized,49,0.192581,Yes,56955,56679.63
large,512,cuda_optimized,50,0.193807,Yes,83803,83480.17
large,512,cuda_optimized,51,0.193522,Yes,83944,83626.13
large,1024,sequential,42,0.20864,Yes,295440,0.28
large,1024,sequential,43,0.208652,Yes,294925,0.28
large,1024,sequential,44,0.206988,Yes,237146,0.28
large,1024,sequential,45,0.207312,Yes,286995,0.28
large,1024,sequential,46,0.20732,Yes,249252,0.28
large,1024,sequential,47,0.206935,Yes,234010,0.28
large,1024,sequential,48,0.20835,Yes,295251,0.28
large,1024,sequential,49,0.207259,Yes,229755,0.28
large,1024,sequential,50,0.206347,Yes,198820,0.28
large,1024,sequential,51,0.207318,Yes,234148,0.28
large,1024,cuda_basic,42,0.195531,Yes,72893,72426.83
large,1024,cuda_basic,43,0.195831,Yes,58607,58184.85
large,1024,cuda_basic,44,0.194029,Yes,73429,72962.03
large,1024,cuda_basic,45,0.196264,Yes,73484,73022.8
large,1024,cuda_basic,46,0.194964,Yes,73138,72669.33
large,1024,cuda_basic,47,0.19451,Yes,54244,53827.32
large,1024,cuda_basic,48,0.194821,Yes,73323,72854.3
large,1024,cuda_basic,49,0.196013,Yes,73574,73110.79
large,1024,cuda_basic,50,0.195725,Yes,72908,72414.78
large,1024,cuda_basic,51,0.19496,Yes,73466,72929.51
large,1024,cuda_optimized,42,0.195531,Yes,109143,108685.18
large,1024,cuda_optimized,43,0.195831,Yes,86566,86113.42
large,1024,cuda_optimized,44,0.194029,Yes,108526,108046.85
large,1024,cuda_optimized,45,0.196264,Yes,108655,108200.44
large,1024,cuda_optimized,46,0.194964,Yes,110520,110058.38
large,1024,cuda_optimized,47,0.19451,Yes,80275,79873.83
large,1024,cuda_optimized,48,0.194821,Yes,108273,107794.02
large,1024,cuda_optimized,49,0.196013,Yes,108360,107913.9
large,1024,cuda_optimized,50,0.195725,Yes,109432,108978.69
large,1024,cuda_optimized,51,0.19496,Yes,108417,107963.92
large,4096,sequential,42,0.208786,Yes,1051837,0.28
large,4096,sequential,43,0.209736,Yes,1181684,0.28
large,4096,sequential,44,0.209113,Yes,990466,0.28
large,4096,sequential,45,0.209924,Yes,1184120,0.28
large,4096,sequential,46,0.208985,Yes,1038799,0.28
large,4096,sequential,47,0.209415,Yes,1178960,0.28
large,4096,sequential,48,0.208685,Yes,944926,0.28
large,4096,sequential,49,0.209471,Yes,1188772,0.28
large,4096,sequential,50,0.20931,Yes,1192266,0.29
large,4096,sequential,51,0.209382,Yes,1195584,0.28
large,4096,cuda_basic,42,0.195975,Yes,71841,70522.44
large,4096,cuda_basic,43,0.196617,Yes,79360,78026.86
large,4096,cuda_basic,44,0.196138,Yes,79527,78193.92
large,4096,cuda_basic,45,0.196995,Yes,79480,78144.16
large,4096,cuda_basic,46,0.196352,Yes,77760,76442.25
large,4096,cuda_basic,47,0.196719,Yes,79379,77958.97
large,4096,cuda_basic,48,0.196205,Yes,79482,78156.73
large,4096,cuda_basic,49,0.197129,Yes,79319,77988.02
large,4096,cuda_basic,50,0.196788,Yes,79373,78061.92
large,4096,cuda_basic,51,0.196947,Yes,79283,77955.3
large,4096,cuda_optimized,42,0.195975,Yes,103195,101900.12
large,4096,cuda_optimized,43,0.196617,Yes,113889,112539.42
large,4096,cuda_optimized,44,0.196138,Yes,114156,112807.48
large,4096,cuda_optimized,45,0.196995,Yes,113654,112296.88
large,4096,cuda_optimized,46,0.196352,Yes,111354,110021.32
large,4096,cuda_optimized,47,0.196719,Yes,114158,112809.45
large,4096,cuda_optimized,48,0.196205,Yes,114198,112842.56
large,4096,cuda_optimized,49,0.197129,Yes,113966,112616.59
large,4096,cuda_optimized,50,0.196788,Yes,113964,112602.05
large,4096,cuda_optimized,51,0.196947,Yes,113980,112630.55
