Instancia,Población,Variante,Factibles (%)
small,512,sequential,0
small,512,cuda_basic,22.52
small,512,cuda_optimized,22.52
small,1024,sequential,0
small,1024,cuda_basic,23.93
small,1024,cuda_optimized,23.93
small,4096,sequential,0
small,4096,cuda_basic,23.13
small,4096,cuda_optimized,23.13
medium,512,sequential,0
medium,512,cuda_basic,11.64
medium,512,cuda_optimized,11.64
medium,1024,sequential,0
medium,1024,cuda_basic,11.94
medium,1024,cuda_optimized,11.94
medium,4096,sequential,0
medium,4096,cuda_basic,12.88
medium,4096,cuda_optimized,12.88
large,512,sequential,0
large,512,cuda_basic,5.43
large,512,cuda_optimized,5.43
large,1024,sequential,0
large,1024,cuda_basic,5.6
large,1024,cuda_optimized,5.6
large,4096,sequential,0
large,4096,cuda_basic,5.64
large,4096,cuda_optimized,5.64
