Instancia,Población,Variante,Promedio (ms),Desv.Est (ms),Min (ms),Max (ms)
small,512,sequential,567.2,99.87,393,717
small,512,cuda_basic,221.2,127.38,143,599
small,512,cuda_optimized,198.8,26.82,149,236
small,1024,sequential,938.4,103.23,770,1148
small,1024,cuda_basic,230,28.77,167,266
small,1024,cuda_optimized,253.9,34.51,178,298
small,4096,sequential,3577.8,431.03,2664,4293
small,4096,cuda_basic,385.3,25.97,350,420
small,4096,cuda_optimized,366.4,20.29,333,401
medium,512,sequential,9189.3,1578.43,6107,12398
medium,512,cuda_basic,1205.9,177.34,764,1377
medium,512,cuda_optimized,1776.3,263.55,1099,2013
medium,1024,sequential,21474.9,3983.26,12080,25201
medium,1024,cuda_basic,1278.4,215.58,912,1513
medium,1024,cuda_optimized,2140.4,361.2,1535,2545
medium,4096,sequential,81633.9,14380.83,56653,100030
medium,4096,cuda_basic,1747.8,293.46,1172,2017
medium,4096,cuda_optimized,2602.3,443.35,1782,3067
large,512,sequential,143549.4,8778.28,121313,147963
large,512,cuda_basic,59904.8,8408.96,45625,67982
large,512,cuda_optimized,75026.9,10862.6,56955,86372
large,1024,sequential,255574.2,33000.94,198820,295440
large,1024,cuda_basic,69906.6,6814.42,54244,73574
large,1024,cuda_optimized,103816.7,10314.47,80275,110520
large,4096,sequential,1114741.4,92439.55,944926,1195584
large,4096,cuda_basic,78480.4,2267.68,71841,79527
large,4096,cuda_optimized,112651.4,3252.47,103195,114198
