Problema,Metodo,N,Blocks,ThreadsPerBlock,TiempoCPU_ms,TiempoGPUKernel_ms,TiempoGPUTotal_ms,Status
1,1hilo/elem,1024,4,256,0.0002,0.0436,0.1243,CORRECTO
1,grid-stride,1024,4,256,0.0002,0.0595,0.1274,CORRECTO
1,1hilo/elem,100000,391,256,0.0249,0.0564,0.2876,CORRECTO
1,grid-stride,100000,391,256,0.0249,0.0558,0.2682,CORRECTO
1,1hilo/elem,1048576,4096,256,0.6629,0.1090,1.5487,CORRECTO
1,grid-stride,1048576,4096,256,0.6629,0.1187,1.3313,CORRECTO
1,1hilo/elem,16777216,65536,256,10.2989,0.9412,17.1778,CORRECTO
1,grid-stride,16777216,65536,256,10.2989,1.0987,17.6845,CORRECTO
2,global,1024,4,256,0.0006,0.0455,0.1280,CORRECTO
2,shared,1024,4,256,0.0006,0.0494,0.1414,CORRECTO
2,global,100000,391,256,0.0404,0.0557,0.2767,CORRECTO
2,shared,100000,391,256,0.0404,0.0559,0.2648,CORRECTO
2,global,1048576,4096,256,0.5275,0.1056,1.3873,CORRECTO
2,shared,1048576,4096,256,0.5275,0.1328,1.3964,CORRECTO
2,global,16777216,65536,256,9.5256,1.0378,18.6983,CORRECTO
2,shared,16777216,65536,256,9.5256,1.2502,19.3176,CORRECTO
3,reduccion,1024,4,256,0.0012,0.0573,0.2630,CORRECTO
3,reduccion,100000,391,256,0.1179,0.0827,0.2485,CORRECTO
3,reduccion,1048576,4096,256,1.3912,0.1564,0.7545,CORRECTO
3,reduccion,16777216,65536,256,19.9379,1.9379,12.8313,CORRECTO
4,global atomic,1024,4,256,0.0007,0.0174,0.1085,CORRECTO
4,shared atomic,1024,4,256,0.0007,0.0702,0.1491,CORRECTO
4,global atomic,100000,391,256,0.2023,0.1106,0.3956,CORRECTO
4,shared atomic,100000,391,256,0.2023,0.0778,0.3068,CORRECTO
4,global atomic,1048576,4096,256,0.6206,0.4094,0.7275,CORRECTO
4,shared atomic,1048576,4096,256,0.6206,0.0701,0.3695,CORRECTO
4,global atomic,67108864,262144,256,34.0560,26.4335,38.1745,CORRECTO
4,shared atomic,67108864,262144,256,34.0560,4.4711,12.4007,CORRECTO
5,atomic global,1024,4,256,0.0002,0.0451,0.1420,CORRECTO
5,warp ballot,1024,4,256,0.0002,0.0655,0.1375,CORRECTO
5,atomic global,100000,391,256,0.0146,0.0082,0.1747,CORRECTO
5,warp ballot,100000,391,256,0.0146,0.0082,0.1627,CORRECTO
5,atomic global,1048576,4096,256,0.1830,0.0480,0.9177,CORRECTO
5,warp ballot,1048576,4096,256,0.1830,0.0446,0.9524,CORRECTO
5,atomic global,67108864,262144,256,16.6906,2.4398,35.2187,CORRECTO
5,warp ballot,67108864,262144,256,16.6906,2.7649,34.6072,CORRECTO
